EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
107025,1457907,CHICAGO STEAK and LEMONADE,,9015 GALENE DR,,LOUISVILLE,KY,40299,FOOD SERVICE,38.1987,-85.5905,2/22/19 0:00,,,CHICAGO STEAK and LEMONADE,
107025,1457908,CHICAGO STEAK and LEMONADE,,9015 GALENE DR,,LOUISVILLE,KY,40299,FOOD SERVICE,38.1987,-85.5905,3/13/19 0:00,,,CHICAGO STEAK and LEMONADE,
107584,1465394,WENDYS,,4955 BROWNSBORO RD,,LOUISVILLE,KY,40222,FOOD SERVICE,0,0,3/27/19 0:00,97,,WENDYS,
107591,1465416,WENDYS,,2100 S FLOYD ST,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2178,-85.7556,4/2/19 0:00,98,,WENDYS,
68306,1447251,PAPA JOHN'S #200,,2111 W BROADWAY,,LOUISVILLE,KY,40210,FOOD SERVICE,38.2497,-85.787,2/1/19 0:00,,,PAPA JOHN'S #200,
107688,1465739,LA SUERTE,,2116 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,38.2247,-85.6948,4/11/19 0:00,100,,LA SUERTE,
101211,1443644,CIAO,,1201 PAYNE ST,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2474,-85.7274,1/9/19 0:00,98,,CIAO,
100784,1454495,SAFIER MEDITERRANEAN DELI,,641 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2476,-85.7579,3/6/19 0:00,,,SAFIER MEDITERRANEAN DELI,
89389,1458250,TROLL PUB UNDER THE BRIDGE,,150 W WASHINGTON ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2569,-85.7524,3/15/19 0:00,,,TROLL PUB UNDER THE BRIDGE,
105981,1458316,TACO LUCHADOR,,500 W JEFFERSON ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.254,-85.7587,3/18/19 0:00,,,TACO LUCHADOR,
